Katalogid,DersAdi,Fakulte,alan_grubu,AKTSKredi,model_tahmin_akts,kural_akts,adaptif_akts_50_50,adaptif_akts_60_40,adaptif_akts_70_30,adaptif_akts_80_20,adaptif_akts,sapma,sapma_yuzde,karar,gerekce,K_bilissel,K_profil,K_etkinlik
201206,Veri Yapıları ve Algoritmaları ,Mühendislik,STEM,5,4.2179,6.2288,5.2234,5.0223,4.8212,4.6201,4.8212,-0.1788,-3.58,Güçlü uyum,"AKTS_mevcut=5.0 | model_tahmin=4.22 | kural_akts=6.23 (K_bilissel=1.26, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.82 | sapma=-3.6%",1.26,1.0,0.9887
9907120,Temel Bilgisayar Bilimleri (Sosyal) - UE,Fen-Edebiyat,Fen-Sosyal,4,3.5558,6.0312,4.7935,4.546,4.2984,4.0509,4.2984,0.2984,7.46,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=3.56 | kural_akts=6.03 (K_bilissel=1.13, K_profil=1.20, K_etkinlik=1.11) | adaptif=4.30 | sapma=+7.5%",1.1333,1.2,1.1087
9907119,Temel Bilgisayar Bilimleri (UE),Fen-Edebiyat,Fen-Sosyal,4,2.9005,5.7559,4.3282,4.0427,3.7571,3.4716,3.7571,-0.2429,-6.07,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=2.90 | kural_akts=5.76 (K_bilissel=1.13, K_profil=1.15, K_etkinlik=1.11) | adaptif=3.76 | sapma=-6.1%",1.1286,1.15,1.1087
9907106,Temel Bilgi Teknolojileri Kullanımı (UE),Fen-Edebiyat,Fen-Sosyal,3,5.3169,4.3988,4.8578,4.9497,5.0415,5.1333,5.0415,2.0415,68.05,İncelenmeli,"AKTS_mevcut=3.0 | model_tahmin=5.32 | kural_akts=4.40 (K_bilissel=1.15, K_profil=1.15, K_etkinlik=1.11) | adaptif=5.04 | sapma=+68.0%",1.15,1.15,1.1087
9905014,Atatürk İlkeleri ve İnkilap Tarihi II (UE),Fen-Edebiyat,Fen-Sosyal,2,3.1547,2.4223,2.7885,2.8617,2.935,3.0082,2.935,0.935,46.75,İncelenmeli,"AKTS_mevcut=2.0 | model_tahmin=3.15 | kural_akts=2.42 (K_bilissel=1.23, K_profil=1.00, K_etkinlik=0.99) | adaptif=2.94 | sapma=+46.8%",1.225,1.0,0.9887
901265,İlkokul Programı,Eğitim,Sosyal,4,4.074,4.4823,4.2782,4.2373,4.1965,4.1557,4.1965,0.1965,4.91,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.07 | kural_akts=4.48 (K_bilissel=1.10, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.20 | sapma=+4.9%",1.1,1.0,1.0187
901277,Çevre Eğitimi,Eğitim,Sosyal,3,4.0645,3.2203,3.6424,3.7268,3.8112,3.8957,3.8112,0.8112,27.04,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=4.06 | kural_akts=3.22 (K_bilissel=1.09, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.81 | sapma=+27.0%",1.0857,1.0,0.9887
901296,Hayat Bilgisi Öğretimi,Eğitim,Sosyal,5,4.031,5.1954,4.6132,4.4968,4.3803,4.2639,4.3803,-0.6197,-12.39,Kabul edilebilir,"AKTS_mevcut=5.0 | model_tahmin=4.03 | kural_akts=5.20 (K_bilissel=1.02, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.38 | sapma=-12.4%",1.02,1.0,1.0187
901295,Fen Bilimleri Öğretimi 1,Eğitim,Sosyal,4,3.9262,4.3295,4.1279,4.0875,4.0472,4.0069,4.0472,0.0472,1.18,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=3.93 | kural_akts=4.33 (K_bilissel=1.06, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.05 | sapma=+1.2%",1.0625,1.0,1.0187
901294,İlkokuma ve Yazma Öğretimi,Eğitim,Sosyal,5,3.9354,5.2732,4.6043,4.4705,4.3367,4.203,4.3367,-0.6633,-13.27,Kabul edilebilir,"AKTS_mevcut=5.0 | model_tahmin=3.94 | kural_akts=5.27 (K_bilissel=1.07, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.34 | sapma=-13.3%",1.0667,1.0,0.9887
901293,İlkokullarda Alt. Eğt. Uyg.,Eğitim,Sosyal,4,3.9332,3.9548,3.944,3.9418,3.9397,3.9375,3.9397,-0.0603,-1.51,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=3.93 | kural_akts=3.95 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.94 | sapma=-1.5%",1.0,1.0,0.9887
901292,Geleneksel Çocuk Oyunları,Eğitim,Sosyal,4,4.0645,4.4163,4.2404,4.2052,4.17,4.1349,4.17,0.17,4.25,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.06 | kural_akts=4.42 (K_bilissel=1.12, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.17 | sapma=+4.2%",1.1167,1.0,0.9887
901290,İlkokulda Yabancı Dil Öğretimi,Eğitim,Sosyal,4,3.8026,4.0865,3.9446,3.9162,3.8878,3.8594,3.8878,-0.1122,-2.8,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=3.80 | kural_akts=4.09 (K_bilissel=1.03, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.89 | sapma=-2.8%",1.0333,1.0,0.9887
901289,İlkokulda Drama,Eğitim,Sosyal,4,4.1321,4.6141,4.3731,4.3249,4.2767,4.2285,4.2767,0.2767,6.92,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.13 | kural_akts=4.61 (K_bilissel=1.17, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.28 | sapma=+6.9%",1.1667,1.0,0.9887
901288,Türk Tarihi ve Kültürü,Eğitim,Sosyal,4,4.0036,4.3503,4.177,4.1423,4.1076,4.0729,4.1076,0.1076,2.69,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.00 | kural_akts=4.35 (K_bilissel=1.10, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.11 | sapma=+2.7%",1.1,1.0,0.9887
901287,Çocukta Sosyal Beceri Öğr.,Eğitim,Sosyal,4,4.001,4.0748,4.0379,4.0305,4.0231,4.0158,4.0231,0.0231,0.58,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.00 | kural_akts=4.07 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=1.02) | adaptif=4.02 | sapma=+0.6%",1.0,1.0,1.0187
901285,Çocuk Edebiyatı,Eğitim,Sosyal,3,3.7922,3.0561,3.4242,3.4978,3.5714,3.645,3.5714,0.5714,19.05,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=3.79 | kural_akts=3.06 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=1.02) | adaptif=3.57 | sapma=+19.1%",1.0,1.0,1.0187
901284,Fen Bilimleri Laboratuvar Uygulamaları,Eğitim,Sosyal,4,4.3722,4.4492,4.4107,4.403,4.3953,4.3876,4.3953,0.3953,9.88,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.37 | kural_akts=4.45 (K_bilissel=1.12, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.40 | sapma=+9.9%",1.125,1.0,0.9887
901283,Okullarda Gözlem,Eğitim,Sosyal,7,4.0712,7.3409,5.706,5.3791,5.0521,4.7251,5.0521,-1.9479,-27.83,Kabul edilebilir,"AKTS_mevcut=7.0 | model_tahmin=4.07 | kural_akts=7.34 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=1.05) | adaptif=5.05 | sapma=-27.8%",1.0,1.0,1.0487
901282,Uygarlık Tarihi,Eğitim,Sosyal,3,4.0061,3.2034,3.6048,3.685,3.7653,3.8456,3.7653,0.7653,25.51,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=4.01 | kural_akts=3.20 (K_bilissel=1.08, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.77 | sapma=+25.5%",1.08,1.0,0.9887
901281,İlkokulda Temel Matematik,Eğitim,Sosyal,4,4.3788,4.548,4.4634,4.4465,4.4296,4.4126,4.4296,0.4296,10.74,Kabul edilebilir,"AKTS_mevcut=4.0 | model_tahmin=4.38 | kural_akts=4.55 (K_bilissel=1.15, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.43 | sapma=+10.7%",1.15,1.0,0.9887
901280, İlkokulda Temel Fen Bilimleri 2 ,Eğitim,Sosyal,3,4.113,2.9661,3.5396,3.6542,3.7689,3.8836,3.7689,0.7689,25.63,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=4.11 | kural_akts=2.97 (K_bilissel=1.00, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.77 | sapma=+25.6%",1.0,1.0,0.9887
901279,Türkiye Coğrafyası ve Jeopolitiği  ,Eğitim,Sosyal,3,3.9539,3.1441,3.549,3.63,3.711,3.7919,3.711,0.711,23.7,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=3.95 | kural_akts=3.14 (K_bilissel=1.06, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.71 | sapma=+23.7%",1.06,1.0,0.9887
901278,İlkokulda Temel Fen Bilimleri 1 ,Eğitim,Sosyal,3,4.0354,3.1144,3.5749,3.667,3.7591,3.8512,3.7591,0.7591,25.3,Kabul edilebilir,"AKTS_mevcut=3.0 | model_tahmin=4.04 | kural_akts=3.11 (K_bilissel=1.05, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.76 | sapma=+25.3%",1.05,1.0,0.9887
901286,"Okul, Aile ve Toplum",Eğitim,Sosyal,4,4.0221,4.5085,4.2653,4.2167,4.168,4.1194,4.168,0.168,4.2,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.02 | kural_akts=4.51 (K_bilissel=1.14, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.17 | sapma=+4.2%",1.14,1.0,0.9887
901297,Matematik Öğretimi 1,Eğitim,Sosyal,4,4.1833,4.2625,4.2229,4.215,4.2071,4.1991,4.2071,0.2071,5.18,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.18 | kural_akts=4.26 (K_bilissel=1.08, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.21 | sapma=+5.2%",1.0778,1.0,0.9887
9903365,İngilizce I (UE),Fen-Edebiyat,Fen-Sosyal,4,4.1996,3.9829,4.0913,4.1129,4.1346,4.1563,4.1346,0.1346,3.36,Güçlü uyum,"AKTS_mevcut=4.0 | model_tahmin=4.20 | kural_akts=3.98 (K_bilissel=1.01, K_profil=1.00, K_etkinlik=0.99) | adaptif=4.13 | sapma=+3.4%",1.0071,1.0,0.9887
9903363,İngilizce I (UE),Fen-Edebiyat,Fen-Sosyal,2,3.7473,2.1504,2.9489,3.1085,3.2682,3.4279,3.2682,1.2682,63.41,İncelenmeli,"AKTS_mevcut=2.0 | model_tahmin=3.75 | kural_akts=2.15 (K_bilissel=1.09, K_profil=1.00, K_etkinlik=0.99) | adaptif=3.27 | sapma=+63.4%",1.0875,1.0,0.9887
